Product Name,Category,Price,Rating,Product Image URL,Product Link,Available
Care Cosmetics Care's Antidandruff shampoo with Punica Granatum Peel Extract - 100ml -Pack of 2,Personal Care,257,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/shampoo/r/e/m/200-care-s-antidandruff-shampoo-with-punica-granatum-peel-original-imagzytegvbgg8yq.jpeg?q=60,https://www.shopsy.in/care-cosmetics-cares-antidandruff-shampoo-with-punica-granatum-peel-extract-100ml-pack-of-2/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
Care Cosmetics Apple Day Cream with Apple juice to improve skin complexion - 50gm - Pack of 2,Personal Care,386,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/moisturizer-cream/w/w/q/100-apple-day-cream-with-apple-juice-to-improve-skin-complexion-original-imagnza7zz8tpa9c.jpeg?q=60,https://www.shopsy.in/care-cosmetics-apple-day-cream-with-apple-juice-to-improve-skin-complexion-50gm-pack-of-2/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
Care Cosmetics Care's Chicknut Face Pack with Chikoo for sensitive skin - 60gm - Pack of 2,Personal Care,460,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/face-pack/g/m/c/120-care-s-chicknut-face-pack-with-chikoo-for-sensitive-skin-original-imagnx9bfgbyfhqb.jpeg?q=60,https://www.shopsy.in/care-cosmetics-cares-chicknut-face-pack-with-chikoo-for-sensitive-skin-60gm-pack-of-2/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
Care Cosmetics Care's Strawberry Whitening Cream with Milk Aloe Green Tea - 50gm - Pack of 2,Personal Care,584,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/moisturizer-cream/q/n/k/100-care-s-strawberry-whitening-cream-with-milk-aloe-green-tea-original-imagz2qvzd3yvwfj.jpeg?q=60,https://www.shopsy.in/care-cosmetics-cares-strawberry-whitening-cream-with-milk-aloe-green-tea-50gm-pack-of-2/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
Care Cosmetics Cream - 50gm each - pack of 2,Personal Care,591,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/moisturizer-cream/4/i/g/100-care-s-frumassage-cream-50gm-each-pack-of-2-na-cream-care-original-imagz2rru5u6jgrv.jpeg?q=60,https://www.shopsy.in/care-cosmetics-cream-50gm-each-pack-of-2/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
"Medibar Personal Lubricant for Men & Women, Long Lasting Pleasure Lubricant",Personal Care,221,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-lubricant/i/h/r/99-personal-lubricant-for-men-women-long-lasting-pleasure-1-original-imah7n2ycj39fgm7.jpeg?q=60,https://www.shopsy.in/medibar-personal-lubricant-for-men-women-long-lasting-pleasure-lubricant/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
notty boy EXTRA TIME GEL FOR MEN Lubricant,Personal Care,311,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-lubricant/y/9/q/20-extra-time-gel-for-men-1-notty-boy-original-imah8vrgrzmevnyx.jpeg?q=60,https://www.shopsy.in/notty-boy-extra-time-gel-for-men-lubricant/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
Retail basket Gel Socks for Women & Men | Silicone Cushions for Support HG5 Heel Repair Heel Support,Personal Care,190,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/support/4/m/k/na-free-size-silicone-gel-heel-socks-for-dry-hard-cracked-heels-original-imagpf67yff6dshh.jpeg?q=60,https://www.shopsy.in/retail-basket-gel-socks-for-women-men-silicone-cushions-for-support-hg5-heel-repair-heel-support/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
Healthibuds 7 Herbs Himalayan Shilajit Gold Resin for Men & Women 40g | Rich in Fulvic Acid,Personal Care,"2,184",3.9,https://rukminim3.flixcart.com/image/546/564/xif0q/shopsy-ayurvedic/u/e/a/7-herbs-himalayan-shilajit-gold-resin-for-men-women-40g-rich-in-original-imahghbznnqqakue.jpeg?q=60,https://www.shopsy.in/healthibuds-7-herbs-himalayan-shilajit-gold-resin-for-men-women-40g-rich-in-fulvic-acid/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,no
Dazzel Flex 538 Rechargeable Trimmer for MEN/WOMEN Fully Waterproof Trimmer  Runtime: 60 min Trimmer for Men,Personal Care,300,N/A,https://rukminim3.flixcart.com/image/546/564/xif0q/trimmer/5/e/c/0-25-4-mm-at-538-trimmer-stainless-steel-cordless-dazzel-flex-original-imahafq5aeaj5zgz.jpeg?q=60,https://www.shopsy.in/dazzel-flex-538-rechargeable-trimmer-for-menwomen-fully-waterproof-trimmer-runtime-60-min-trimmer-for-men/p/itm430b7f7bc868d?pid=XLPHDR9YZVM9YZVH&lid=LSTXLPHDR9YZVM9YZVHIJPFCH&marketplace=FLIPKART,yes
